"type","objectname","size_bytes","path"
"blob","485aa5d0faeb8d3c5bafc6f1e7971832b335dbeb","19233","Archive/Works6_28/TideDisplayOld/TideDisplayOld.ino"
"blob","f7ed960fd0b11b09735546099de2f079ee30a783","18924","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/Custom/Satisfy_24.h"
"blob","d159ac3565b18902ab46ee49191871a8ecf7c0c4","18916","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/160 x 128/TFT_graphicstest_PDQ3/TFT_graphicstest_PDQ3.ino"
"blob","e0922be279137557b1e21dd78977ac4b35f7fe15","18893","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/GFXFF/FreeSansBold12pt7b.h"
"blob","2db27dc0ef4a77e7f7b77a94e940bcfa83c09ae5","18558","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Generic/Animated_Eyes_1/eye_functions.ino"
"blob","0add58a10b84f21d81db2b11e74ff3331b78b73c","18494","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/Custom/Orbitron_Light_24.h"
"blob","9f1ad4addc944604151f03caffe8f09231681f12","18093","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Sprite/Animated_dial/data/dial.jpg"
"blob","5add23b2ce2eff6e283742039f13ac2b08f80458","18054","Archive/Works6_28/TideDisplayOld/libraries/ArduinoJson/src/ArduinoJson/Json/JsonDeserializer.hpp"
"blob","4d46738d72d45e13b9381084610b03145f2051e5","17894","TideDisplay/TideDisplay.ino"
"blob","9686738ef0988c20be9fc59610a41018b275ae37","17890","Archive/TideDisplay.ino/TideDisplay.ino.ino"
"blob","1d499811fae446a53f33e6fb645e7a14bf24d49b","17694","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/GFXFF/FreeSerifBold12pt7b.h"
"blob","52332a7ad33c03bfede514a152a4056e9d928051","17662","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/GFXFF/FreeSerifItalic12pt7b.h"
"blob","cc3ecb2716aaae596188ca07be5ad40ed805e658","17570","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/GFXFF/FreeMonoBoldOblique12pt7b.h"
"blob","6a5163996e3e28851bbf9b488ad785b30385de87","17548","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/User_Setup_Select.h"
"blob","9ecbb8fb04d9ad065a8bd7527d2b4277e60d2eeb","17535","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Fonts/GFXFF/FreeSans12pt7b.h"
"blob","d657a080908c286d377d945997ce6f710bf9d451","17336","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Generic/TFT_Screen_Capture/processing_sketch.ino"
"blob","9c9c79498c56b296c4638c495b671d699465a8f7","17142","Archive/Works6_28/TideDisplayOld/libraries/ArduinoJson/src/ArduinoJson/Variant/VariantData.hpp"
"blob","03c9eefd98c6c852698e5d868117bcbb1b705734","17047","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Tools/Screenshot_client/Screenshot_client.pde"
